date,district,latitude,longitude,rainfall_24h,rainfall_3day,rainfall_7day,max_daily_rain,forecast_rain,max_temperature,average_temperature,average_humidity,soil_moisture,max_wind_speed,heavy_rain,heatwave,flood
2021-01-01,Peshawar,34.0151,71.5249,0.2,9.23,15.16,1.37,0.2,22.32,17.26,66.51,0.222,10.8,0,0,0
2021-01-02,Peshawar,34.0151,71.5249,0.04,2.28,4.82,0.52,1.14,12.37,6.0,33.82,0.151,19.78,0,0,0
2021-01-03,Peshawar,34.0151,71.5249,0.85,0.99,5.2,0.85,0.08,13.6,6.54,50.62,0.134,13.71,0,0,0
2021-01-04,Peshawar,34.0151,71.5249,0.0,7.2,8.55,1.63,0.45,10.69,2.78,57.95,0.218,22.05,0,0,0
2021-01-05,Peshawar,34.0151,71.5249,0.0,0.65,0.86,0.59,0.59,14.16,8.31,70.86,0.099,16.08,0,0,0
2021-01-06,Peshawar,34.0151,71.5249,0.0,13.0,19.66,0.33,0.01,20.12,12.81,68.97,0.271,10.01,0,0,0
2021-01-07,Peshawar,34.0151,71.5249,2.48,5.41,7.22,2.48,0.45,19.25,11.59,75.34,0.146,14.39,0,0,0
2021-01-08,Peshawar,34.0151,71.5249,1.65,4.12,10.75,1.65,0.89,16.35,10.41,50.51,0.267,15.15,0,0,0
2021-01-09,Peshawar,34.0151,71.5249,0.29,4.52,5.69,0.29,0.41,19.66,12.25,59.93,0.257,16.4,0,0,0
2021-01-10,Peshawar,34.0151,71.5249,0.07,0.42,1.59,0.84,2.04,16.02,9.77,51.48,0.141,12.69,0,0,0
2021-01-11,Peshawar,34.0151,71.5249,3.79,4.97,8.26,3.79,0.54,8.32,2.47,54.6,0.21,11.54,0,0,0
2021-01-12,Peshawar,34.0151,71.5249,0.0,0.98,11.73,0.41,0.19,20.57,14.86,66.28,0.188,26.07,0,0,0
2021-01-13,Peshawar,34.0151,71.5249,1.01,3.31,3.73,2.71,0.46,16.4,9.37,47.45,0.175,12.08,0,0,0
2021-01-14,Peshawar,34.0151,71.5249,1.05,1.63,6.91,1.05,3.31,12.87,5.09,50.17,0.178,19.45,0,0,0
2021-01-15,Peshawar,34.0151,71.5249,2.05,4.48,7.87,2.05,0.12,17.04,11.02,66.73,0.267,8.06,0,0,0
2021-01-16,Peshawar,34.0151,71.5249,2.77,7.31,11.94,2.77,0.21,17.17,12.16,44.28,0.238,5.27,0,0,0
2021-01-17,Peshawar,34.0151,71.5249,1.08,1.85,7.45,1.08,0.47,19.85,12.88,61.19,0.156,16.17,0,0,0
2021-01-18,Peshawar,34.0151,71.5249,0.0,0.84,17.09,0.75,2.67,16.05,9.32,76.8,0.194,14.72,0,0,0
2021-01-19,Peshawar,34.0151,71.5249,0.0,0.07,4.74,0.29,3.39,15.11,10.06,65.71,0.175,20.92,0,0,0
2021-01-20,Peshawar,34.0151,71.5249,4.47,10.22,11.79,4.47,2.29,16.86,9.05,36.31,0.26,29.1,0,0,0
2021-01-21,Peshawar,34.0151,71.5249,0.93,14.76,15.44,1.1,2.52,20.33,14.25,70.81,0.298,10.17,0,0,0
2021-01-22,Peshawar,34.0151,71.5249,2.53,9.86,13.08,2.53,1.92,19.82,12.15,64.77,0.18,2.99,0,0,0
2021-01-23,Peshawar,34.0151,71.5249,0.8,0.9,3.72,1.17,0.41,14.11,8.73,71.33,0.253,16.03,0,0,0
2021-01-24,Peshawar,34.0151,71.5249,0.96,1.23,1.47,1.14,0.93,7.9,0.51,57.8,0.138,1.65,0,0,0
2021-01-25,Peshawar,34.0151,71.5249,0.0,9.86,18.0,1.79,0.63,14.1,7.45,45.2,0.317,25.13,0,0,0
2021-01-26,Peshawar,34.0151,71.5249,4.15,8.16,11.8,4.15,0.65,21.07,16.02,44.38,0.217,29.98,0,0,0
2021-01-27,Peshawar,34.0151,71.5249,0.51,2.44,3.3,0.85,0.61,14.24,8.12,56.96,0.175,33.78,0,0,0
